,Species,Total,port,Year
3072,"Crab, Dungeness","1,022,358",Monterey,2014
3073,"Crab, brown rock",97,Monterey,2014
3074,"Crab, rock unspecified","47,140",Monterey,2014
3075,"Crab, tanner",3,Monterey,2014
3076,"Prawn, spot","61,182",Monterey,2014
3077,"Octopus, unspecified","1,399",Monterey,2014
3078,"Squid, market","90,355,473",Monterey,2014
3079,"Anchovy, northern","12,393,206",Monterey,2013
3080,"Bonito, Pacific",506,Monterey,2013
3081,Butterfish (Pacific pompano),"1,065",Monterey,2013
3082,Cabezon,"7,022",Monterey,2013
3083,"Croaker, white","2,921",Monterey,2013
3084,"Fish, unspecified",96,Monterey,2013
3085,"Flounder, arrowtooth",444,Monterey,2013
3086,"Flounder, starry",53,Monterey,2013
3087,"Greenling, kelp","2,026",Monterey,2013
3088,"Greenling, rock",6,Monterey,2013
3089,Grenadier,"100,173",Monterey,2013
3090,"Halibut, California","42,312",Monterey,2013
3091,"Herring, Pacific",64,Monterey,2013
3092,Jacksmelt,"10,091",Monterey,2013
3093,Lingcod,"16,384",Monterey,2013
3094,"Mackerel, Pacific",120,Monterey,2013
3095,"Mackerel, unspecified",20,Monterey,2013
3096,"Ratfish, spotted",617,Monterey,2013
3097,"Rockfish, China",97,Monterey,2013
3098,"Rockfish, aurora",79,Monterey,2013
3099,"Rockfish, bank","2,029",Monterey,2013
3100,"Rockfish, black-and-yellow","5,157",Monterey,2013
3101,"Rockfish, black","1,630",Monterey,2013
3102,"Rockfish, blackgill","9,542",Monterey,2013
3103,"Rockfish, blue","3,166",Monterey,2013
3104,"Rockfish, bocaccio","2,742",Monterey,2013
3105,"Rockfish, brown",256,Monterey,2013
3106,"Rockfish, canary",7,Monterey,2013
3107,"Rockfish, chilipepper","5,996",Monterey,2013
3108,"Rockfish, copper",54,Monterey,2013
3109,"Rockfish, cowcod",28,Monterey,2013
3110,"Rockfish, darkblotched",562,Monterey,2013
3111,"Rockfish, gopher","3,543",Monterey,2013
3112,"Rockfish, grass","2,237",Monterey,2013
3113,"Rockfish, greenblotched",4,Monterey,2013
3114,"Rockfish, greenspotted",41,Monterey,2013
3115,"Rockfish, group red",69,Monterey,2013
3116,"Rockfish, group shelf",109,Monterey,2013
3117,"Rockfish, group slope","1,156",Monterey,2013
3118,"Rockfish, group small",50,Monterey,2013
3119,"Rockfish, kelp",641,Monterey,2013
3120,"Rockfish, olive","1,374",Monterey,2013
3121,"Rockfish, redbanded",13,Monterey,2013
3122,"Rockfish, rosy",0,Monterey,2013
3123,"Rockfish, speckled",18,Monterey,2013
3124,"Rockfish, splitnose","18,832",Monterey,2013
3125,"Rockfish, starry",9,Monterey,2013
3126,"Rockfish, treefish",7,Monterey,2013
3127,"Rockfish, unspecified",187,Monterey,2013
3128,"Rockfish, vermilion","5,750",Monterey,2013
3129,"Rockfish, widow",279,Monterey,2013
3130,"Rockfish, yellowtail","4,084",Monterey,2013
3131,Sablefish,"253,290",Monterey,2013
3132,"Salmon, Chinook","291,292",Monterey,2013
3133,"Sanddab, Pacific",43,Monterey,2013
3134,"Sanddab, longfin",11,Monterey,2013
3135,Sanddab,"24,307",Monterey,2013
3136,"Sardine, Pacific","1,810,562",Monterey,2013
3137,"Seabass, white",562,Monterey,2013
3138,"Shark, spiny dogfish","1,238",Monterey,2013
3139,"Shark, thresher",17,Monterey,2013
3140,"Shark, unspecified",155,Monterey,2013
3141,"Sharks, cow",150,Monterey,2013
3142,"Skate, longnose","13,556",Monterey,2013
3143,"Skate, unspecified","1,102",Monterey,2013
3144,"Sole, Dover","120,087",Monterey,2013
3145,"Sole, English","9,197",Monterey,2013
3146,"Sole, butter",2,Monterey,2013
3147,"Sole, petrale","50,673",Monterey,2013
3148,"Sole, rex","3,713",Monterey,2013
3149,"Sole, rock",4,Monterey,2013
3150,"Sole, sand",3,Monterey,2013
3151,"Surfperch, rainbow",2,Monterey,2013
3152,"Surfperch, shiner",6,Monterey,2013
3153,Swordfish,46,Monterey,2013
3154,"Thornyhead, longspine","84,521",Monterey,2013
3155,"Thornyhead, shortspine","62,338",Monterey,2013
3156,Thornyheads,35,Monterey,2013
3157,"Tomcod, Pacific",17,Monterey,2013
3158,"Trawled fish, unspecified",37,Monterey,2013
3159,"Tuna, albacore","68,146",Monterey,2013
3160,"Whiting, Pacific","5,030",Monterey,2013
3161,Yellowtail,78,Monterey,2013
3162,"Crab, Dungeness","674,030",Monterey,2013
3163,"Crab, brown rock",995,Monterey,2013
3164,"Crab, red rock",462,Monterey,2013
3165,"Crab, rock unspecified","3,057",Monterey,2013
3166,"Crab, sand",29,Monterey,2013
3167,"Crab, spider",25,Monterey,2013
3168,"Crab, tanner",162,Monterey,2013
3169,"Crab, yellow rock",40,Monterey,2013
3170,"Prawn, spot","40,211",Monterey,2013
3171,"Shrimp, coonstriped",65,Monterey,2013
3172,"Sea cucumber, warty",287,Monterey,2013
3173,"Sea urchin, purple",350,Monterey,2013
3174,"Sea urchin, red",100,Monterey,2013
3175,"Octopus, unspecified",166,Monterey,2013
3176,"Squid, jumbo",47,Monterey,2013
3177,"Squid, market","30,298,982",Monterey,2013
3178,Waters Area Total:,"46,466,098",Monterey,2013
3179,"Tuna, albacore","27,582",Monterey,2013
3180,Waters Area Total:,"27,582",Monterey,2013
3181,"Anchovy, northern","5,012,239",Monterey,2012
3182,"Barracuda, California",124,Monterey,2012
3183,"Bass, kelp",5,Monterey,2012
3184,Butterfish (Pacific pompano),426,Monterey,2012
3185,Cabezon,"8,515",Monterey,2012
3186,"Croaker, white",101,Monterey,2012
3187,"Fish, unspecified","1,000",Monterey,2012
3188,"Flounder, arrowtooth",164,Monterey,2012
3189,"Flounder, starry",65,Monterey,2012
3190,"Greenling, kelp","2,390",Monterey,2012
3191,"Greenling, rock",5,Monterey,2012
3192,Grenadier,"117,260",Monterey,2012
3193,"Halibut, California","28,672",Monterey,2012
3194,Jacksmelt,"4,650",Monterey,2012
3195,Lingcod,"6,132",Monterey,2012
3196,Louvar,97,Monterey,2012
3197,"Mackerel, Pacific","221,011",Monterey,2012
3198,Opah,"1,001",Monterey,2012
3199,"Pomfret, Pacific",508,Monterey,2012
3200,"Ratfish, spotted",152,Monterey,2012
3201,"Rockfish, China",120,Monterey,2012
3202,"Rockfish, aurora",234,Monterey,2012
3203,"Rockfish, bank","3,798",Monterey,2012
3204,"Rockfish, black-and-yellow","5,332",Monterey,2012
3205,"Rockfish, black",492,Monterey,2012
3206,"Rockfish, blackgill","20,456",Monterey,2012
3207,"Rockfish, blue",482,Monterey,2012
3208,"Rockfish, bocaccio","1,542",Monterey,2012
3209,"Rockfish, brown",320,Monterey,2012
3210,"Rockfish, canary",18,Monterey,2012
3211,"Rockfish, chilipepper","12,825",Monterey,2012
3212,"Rockfish, copper",126,Monterey,2012
3213,"Rockfish, cowcod",76,Monterey,2012
3214,"Rockfish, darkblotched",258,Monterey,2012
3215,"Rockfish, gopher","4,334",Monterey,2012
3216,"Rockfish, grass","2,372",Monterey,2012
3217,"Rockfish, greenspotted",62,Monterey,2012
3218,"Rockfish, greenstriped",1,Monterey,2012
3219,"Rockfish, group bolina",3,Monterey,2012
3220,"Rockfish, group red",37,Monterey,2012
3221,"Rockfish, group rosefish",1,Monterey,2012
3222,"Rockfish, group shelf",23,Monterey,2012
3223,"Rockfish, group slope",232,Monterey,2012
3224,"Rockfish, group small",1,Monterey,2012
3225,"Rockfish, kelp",480,Monterey,2012
3226,"Rockfish, olive",938,Monterey,2012
3227,"Rockfish, quillback",12,Monterey,2012
3228,"Rockfish, redbanded",36,Monterey,2012
3229,"Rockfish, rosy",4,Monterey,2012
3230,"Rockfish, speckled",8,Monterey,2012
3231,"Rockfish, splitnose","23,407",Monterey,2012
3232,"Rockfish, squarespot",3,Monterey,2012
3233,"Rockfish, starry",29,Monterey,2012
3234,"Rockfish, treefish",17,Monterey,2012
3235,"Rockfish, unspecified",146,Monterey,2012
3236,"Rockfish, vermilion","1,887",Monterey,2012
3237,"Rockfish, widow",58,Monterey,2012
3238,"Rockfish, yellowtail",575,Monterey,2012
3239,Sablefish,"363,313",Monterey,2012
3240,"Salmon, Chinook","515,177",Monterey,2012
3241,"Salmon, Roe (Chinook, Coho)",4,Monterey,2012
3242,"Sanddab, Pacific",9,Monterey,2012
3243,Sanddab,"22,327",Monterey,2012
3244,"Sardine, Pacific","9,349,045",Monterey,2012
3245,"Sculpin, staghorn",3,Monterey,2012
3246,"Seabass, white","79,601",Monterey,2012
3247,"Shark, leopard",113,Monterey,2012
3248,"Shark, pelagic thresher",80,Monterey,2012
3249,"Shark, salmon",168,Monterey,2012
3250,"Shark, shortfin mako",680,Monterey,2012
3251,"Shark, spiny dogfish","1,671",Monterey,2012
3252,"Shark, thresher",488,Monterey,2012
3253,"Shark, unspecified",14,Monterey,2012
3254,"Skate, big",202,Monterey,2012
3255,"Skate, longnose","23,571",Monterey,2012
3256,"Skate, unspecified","2,726",Monterey,2012
3257,"Smelt, surf",24,Monterey,2012
3258,"Sole, Dover","635,590",Monterey,2012
3259,"Sole, English","7,115",Monterey,2012
3260,"Sole, petrale","31,147",Monterey,2012
3261,"Sole, rex","3,209",Monterey,2012
3262,"Sole, sand",41,Monterey,2012
3263,"Surfperch, barred",54,Monterey,2012
3264,"Surfperch, walleye",15,Monterey,2012
3265,Swordfish,"6,518",Monterey,2012
3266,"Thornyhead, longspine","74,102",Monterey,2012
3267,"Thornyhead, shortspine","69,899",Monterey,2012
3268,"Tuna, albacore","217,531",Monterey,2012
3269,"Tuna, bluefin",217,Monterey,2012
3270,"Tuna, skipjack","1,154",Monterey,2012
3271,"Turbot, curlfin",47,Monterey,2012
3272,"Whiting, Pacific",22,Monterey,2012
3273,"Crab, Dungeness","621,023",Monterey,2012
3274,"Crab, brown rock","1,010",Monterey,2012
3275,"Crab, king",1,Monterey,2012
3276,"Crab, red rock","1,384",Monterey,2012
3277,"Crab, rock unspecified","3,174",Monterey,2012
3278,"Crab, spider",90,Monterey,2012
3279,"Crab, tanner",331,Monterey,2012
3280,"Crab, yellow rock",99,Monterey,2012
3281,"Crustacean, unspecified","1,260",Monterey,2012
3282,"Prawn, spot","43,513",Monterey,2012
3283,"Shrimp, bay",40,Monterey,2012
3284,"Shrimp, coonstriped",56,Monterey,2012
3285,"Octopus, unspecified",939,Monterey,2012
3286,"Squid, jumbo","4,754",Monterey,2012
3287,"Anchovy, northern","4,017,139",Monterey,2011
3288,"Barracuda, California",44,Monterey,2011
3289,Cabezon,"6,327",Monterey,2011
3290,"Croaker, white",2,Monterey,2011
3291,"Fish, unspecified",511,Monterey,2011
3292,"Flounder, starry",70,Monterey,2011
3293,"Greenling, kelp",502,Monterey,2011
3294,"Greenling, rock",2,Monterey,2011
3295,Grenadier,"116,436",Monterey,2011
3296,Hagfishes,22,Monterey,2011
3297,"Halibut, California","13,569",Monterey,2011
3298,Jacksmelt,"6,200",Monterey,2011
3299,Lingcod,"3,864",Monterey,2011
3300,"Mackerel, Pacific","32,282",Monterey,2011
3301,"Rockfish, China",80,Monterey,2011
3302,"Rockfish, aurora",44,Monterey,2011
3303,"Rockfish, bank","11,081",Monterey,2011
3304,"Rockfish, black-and-yellow","4,359",Monterey,2011
3305,"Rockfish, black",253,Monterey,2011
3306,"Rockfish, blackgill","7,349",Monterey,2011
3307,"Rockfish, blue",837,Monterey,2011
3308,"Rockfish, bocaccio","1,860",Monterey,2011
3309,"Rockfish, brown",445,Monterey,2011
3310,"Rockfish, canary",18,Monterey,2011
3311,"Rockfish, chilipepper","36,883",Monterey,2011
3312,"Rockfish, copper",167,Monterey,2011
3313,"Rockfish, cowcod",17,Monterey,2011
3314,"Rockfish, darkblotched",271,Monterey,2011
3315,"Rockfish, flag",1,Monterey,2011
3316,"Rockfish, gopher","3,720",Monterey,2011
3317,"Rockfish, grass","2,282",Monterey,2011
3318,"Rockfish, greenspotted",47,Monterey,2011
3319,"Rockfish, greenstriped",2,Monterey,2011
3320,"Rockfish, group red",349,Monterey,2011
3321,"Rockfish, group shelf",49,Monterey,2011
3322,"Rockfish, kelp",607,Monterey,2011
3323,"Rockfish, olive",585,Monterey,2011
3324,"Rockfish, redbanded",41,Monterey,2011
3325,"Rockfish, rosy",10,Monterey,2011
3326,"Rockfish, splitnose","9,090",Monterey,2011
3327,"Rockfish, starry",47,Monterey,2011
3328,"Rockfish, treefish",80,Monterey,2011
3329,"Rockfish, unspecified",24,Monterey,2011
3330,"Rockfish, vermilion","2,794",Monterey,2011
3331,"Rockfish, widow",315,Monterey,2011
3332,"Rockfish, yelloweye",8,Monterey,2011
3333,"Rockfish, yellowtail",488,Monterey,2011
3334,Sablefish,"486,708",Monterey,2011
3335,"Salmon, Chinook","78,063",Monterey,2011
3336,"Sanddab, Pacific","7,851",Monterey,2011
3337,Sanddab,"35,045",Monterey,2011
3338,"Sardine, Pacific","22,204,459",Monterey,2011
3339,"Seabass, white","109,629",Monterey,2011
3340,"Shark, soupfin",253,Monterey,2011
3341,"Shark, spiny dogfish",296,Monterey,2011
3342,"Shark, thresher",25,Monterey,2011
3343,"Shark, unspecified",142,Monterey,2011
3344,"Shark, white",85,Monterey,2011
3345,"Sheephead, California",11,Monterey,2011
3346,"Skate, longnose","15,615",Monterey,2011
3347,"Skate, unspecified","3,599",Monterey,2011
3348,"Sole, Dover","300,294",Monterey,2011
3349,"Sole, English","8,303",Monterey,2011
3350,"Sole, petrale","31,245",Monterey,2011
3351,"Sole, rex","5,688",Monterey,2011
3352,"Sole, rock",27,Monterey,2011
3353,"Sole, sand",14,Monterey,2011
3354,"Sole, unspecified",5,Monterey,2011
3355,"Surfperch, barred",42,Monterey,2011
3356,"Surfperch, walleye",38,Monterey,2011
3357,"Thornyhead, longspine","106,698",Monterey,2011
3358,"Thornyhead, shortspine","74,972",Monterey,2011
3359,Thornyheads,2,Monterey,2011
3360,"Tuna, albacore","178,463",Monterey,2011
3361,"Tuna, bluefin",22,Monterey,2011
3362,"Turbot, curlfin",22,Monterey,2011
3363,"Whiting, Pacific",326,Monterey,2011
3364,Yellowtail,12,Monterey,2011
3365,"Crab, Dungeness","488,073",Monterey,2011
3366,"Crab, brown rock",28,Monterey,2011
3367,"Crab, red rock","1,304",Monterey,2011
3368,"Crab, rock unspecified","17,085",Monterey,2011
3369,"Crab, spider",86,Monterey,2011
3370,"Crab, tanner",179,Monterey,2011
3371,"Crab, yellow rock",27,Monterey,2011
3372,"Prawn, spot","56,832",Monterey,2011
3373,"Shrimp, coonstriped",27,Monterey,2011
3374,"Octopus, unspecified",609,Monterey,2011
3375,"Squid, market","30,529,740",Monterey,2011
3376,Jellyfish,"9,396",Monterey,2011
3377,Waters Area Total:,"59,032,510",Monterey,2011
3378,Grand Total:,"59,032,510",Monterey,2011
3379,"Anchovy, northern","1,505,528",Monterey,2010
3380,"Barracuda, California",11,Monterey,2010
3381,Cabezon,"6,475",Monterey,2010
3382,"Croaker, white",200,Monterey,2010
3383,"Eel, monkeyface (prickleback)",5,Monterey,2010
3384,"Flounder, starry",808,Monterey,2010
3385,"Greenling, kelp",515,Monterey,2010
3386,Grenadier,"119,239",Monterey,2010
3387,"Halibut, California","9,994",Monterey,2010
3388,Jacksmelt,"4,698",Monterey,2010
3389,Lingcod,"5,145",Monterey,2010
3390,Louvar,25,Monterey,2010
3391,"Mackerel, Pacific",4,Monterey,2010
3392,Opah,"1,448",Monterey,2010
3393,"Rockfish, China",119,Monterey,2010
3394,"Rockfish, aurora",61,Monterey,2010
3395,"Rockfish, bank","11,901",Monterey,2010
3396,"Rockfish, black-and-yellow","3,583",Monterey,2010
3397,"Rockfish, black",78,Monterey,2010
3398,"Rockfish, blackgill","18,924",Monterey,2010
3399,"Rockfish, blue","1,232",Monterey,2010
3400,"Rockfish, bocaccio","2,350",Monterey,2010
3401,"Rockfish, brown",265,Monterey,2010
3402,"Rockfish, canary",101,Monterey,2010
3403,"Rockfish, chilipepper","74,743",Monterey,2010
3404,"Rockfish, copper",206,Monterey,2010
3405,"Rockfish, darkblotched",158,Monterey,2010
3406,"Rockfish, gopher","5,516",Monterey,2010
3407,"Rockfish, grass","2,417",Monterey,2010
3408,"Rockfish, greenspotted",33,Monterey,2010
3409,"Rockfish, group red",304,Monterey,2010
3410,"Rockfish, group shelf",47,Monterey,2010
3411,"Rockfish, group slope","1,679",Monterey,2010
3412,"Rockfish, kelp",667,Monterey,2010
3413,"Rockfish, olive",823,Monterey,2010
3414,"Rockfish, quillback",10,Monterey,2010
3415,"Rockfish, rosy",3,Monterey,2010
3416,"Rockfish, speckled",11,Monterey,2010
3417,"Rockfish, splitnose","41,647",Monterey,2010
3418,"Rockfish, starry",200,Monterey,2010
3419,"Rockfish, treefish",84,Monterey,2010
3420,"Rockfish, vermilion","3,987",Monterey,2010
3421,"Rockfish, widow",71,Monterey,2010
3422,"Rockfish, yellowtail",379,Monterey,2010
3423,Sablefish,"466,109",Monterey,2010
3424,"Salmon, Chinook","19,776",Monterey,2010
3425,"Sanddab, Pacific",50,Monterey,2010
3426,Sanddab,"38,914",Monterey,2010
3427,"Sardine, Pacific","9,491,675",Monterey,2010
3428,"Seabass, white","76,455",Monterey,2010
3429,"Shark, shortfin mako",610,Monterey,2010
3430,"Shark, soupfin",31,Monterey,2010
3431,"Shark, spiny dogfish","11,768",Monterey,2010
3432,"Shark, thresher","7,123",Monterey,2010
3433,"Shark, unspecified",25,Monterey,2010
3434,"Sheephead, California",16,Monterey,2010
3435,"Skate, longnose","1,280",Monterey,2010
3436,"Skate, unspecified","5,802",Monterey,2010
3437,"Sole, Dover","174,827",Monterey,2010
3438,"Sole, English","12,538",Monterey,2010
3439,"Sole, petrale","44,370",Monterey,2010
3440,"Sole, rex","8,385",Monterey,2010
3441,"Sole, rock",15,Monterey,2010
3442,"Sole, sand",308,Monterey,2010
3443,"Surfperch, unspecified",6,Monterey,2010
3444,"Surfperch, walleye",45,Monterey,2010
3445,Swordfish,"12,747",Monterey,2010
3446,"Thornyhead, longspine","101,932",Monterey,2010
3447,"Thornyhead, shortspine","76,354",Monterey,2010
3448,Thornyheads,891,Monterey,2010
3449,"Tuna, albacore","59,856",Monterey,2010
3450,Turbot,156,Monterey,2010
3451,"Crab, Dungeness","384,288",Monterey,2010
3452,"Crab, pelagic red",20,Monterey,2010
3453,"Crab, red rock",471,Monterey,2010
3454,"Crab, rock unspecified","10,110",Monterey,2010
3455,"Crab, spider",60,Monterey,2010
3456,"Crab, tanner",508,Monterey,2010
3457,"Crab, yellow rock",14,Monterey,2010
3458,"Prawn, spot","24,604",Monterey,2010
3459,"Shrimp, coonstriped","1,355",Monterey,2010
3460,"Shrimp, unspecified",58,Monterey,2010
3461,"Octopus, unspecified",285,Monterey,2010
3462,"Squid, jumbo",656,Monterey,2010
3463,"Squid, market","42,914,950",Monterey,2010
3464,Waters Area Total:,"55,775,131",Monterey,2010
3465,Grand Total:,"55,775,131",Monterey,2010
3466,"Anchovy, northern","2,156,994",Monterey,2009
3467,"Bass, giant sea",498,Monterey,2009
3468,"Bass, kelp",12,Monterey,2009
3469,Cabezon,"5,406",Monterey,2009
3470,"Croaker, white","66,004",Monterey,2009
3471,"Flounder, starry",7,Monterey,2009
3472,"Greenling, kelp",516,Monterey,2009
3473,Grenadier,"102,096",Monterey,2009
3474,"Halibut, California","8,482",Monterey,2009
3475,"Herring, Pacific","164,095",Monterey,2009
3476,Jacksmelt,"28,071",Monterey,2009
3477,Lingcod,"6,118",Monterey,2009
3478,"Mackerel, Pacific","31,209",Monterey,2009
3479,"Mackerel, unspecified",224,Monterey,2009
3480,Opah,"2,254",Monterey,2009
3481,"Rockfish, China",68,Monterey,2009
3482,"Rockfish, Pacific ocean perch",1,Monterey,2009
3483,"Rockfish, aurora",621,Monterey,2009
3484,"Rockfish, bank","66,437",Monterey,2009
3485,"Rockfish, black-and-yellow","4,131",Monterey,2009
3486,"Rockfish, black",829,Monterey,2009
3487,"Rockfish, blackgill","14,044",Monterey,2009
3488,"Rockfish, blue","2,737",Monterey,2009
3489,"Rockfish, bocaccio","2,377",Monterey,2009
3490,"Rockfish, brown",167,Monterey,2009
3491,"Rockfish, canary",168,Monterey,2009
3492,"Rockfish, chilipepper","86,691",Monterey,2009
3493,"Rockfish, copper",209,Monterey,2009
3494,"Rockfish, flag",20,Monterey,2009
3495,"Rockfish, gopher","7,417",Monterey,2009
3496,"Rockfish, grass","2,496",Monterey,2009
3497,"Rockfish, greenspotted",116,Monterey,2009
3498,"Rockfish, greenstriped",52,Monterey,2009
3499,"Rockfish, group bolina",38,Monterey,2009
3500,"Rockfish, group gopher",257,Monterey,2009
3501,"Rockfish, group red",288,Monterey,2009
3502,"Rockfish, group slope",528,Monterey,2009
3503,"Rockfish, group small",25,Monterey,2009
3504,"Rockfish, kelp","1,500",Monterey,2009
3505,"Rockfish, olive",999,Monterey,2009
3506,"Rockfish, quillback",3,Monterey,2009
3507,"Rockfish, redbanded",55,Monterey,2009
3508,"Rockfish, rosy",17,Monterey,2009
3509,"Rockfish, speckled",14,Monterey,2009
3510,"Rockfish, splitnose","35,657",Monterey,2009
3511,"Rockfish, starry",72,Monterey,2009
3512,"Rockfish, treefish",21,Monterey,2009
3513,"Rockfish, unspecified",232,Monterey,2009
3514,"Rockfish, vermilion","3,762",Monterey,2009
3515,"Rockfish, widow",208,Monterey,2009
3516,"Rockfish, yellowtail","1,384",Monterey,2009
3517,Sablefish,"352,724",Monterey,2009
3518,"Sanddab, Pacific","18,496",Monterey,2009
3519,Sanddab,"5,453",Monterey,2009
3520,"Sardine, Pacific","53,243,354",Monterey,2009
3521,"Seabass, white","15,043",Monterey,2009
3522,"Shark, shortfin mako","1,961",Monterey,2009
3523,"Shark, soupfin",104,Monterey,2009
3524,"Shark, spiny dogfish","39,453",Monterey,2009
3525,"Shark, thresher",309,Monterey,2009
3526,"Shark, unspecified",53,Monterey,2009
3527,"Sheephead, California",19,Monterey,2009
3528,Silversides,118,Monterey,2009
3529,"Skate, longnose",422,Monterey,2009
3530,"Skate, unspecified","6,175",Monterey,2009
3531,"Sole, Dover","26,043",Monterey,2009
3532,"Sole, English","12,882",Monterey,2009
3533,"Sole, petrale","76,354",Monterey,2009
3534,"Sole, rex","2,264",Monterey,2009
3535,"Sole, rock",91,Monterey,2009
3536,"Sole, sand",11,Monterey,2009
3537,"Surfperch, walleye",8,Monterey,2009
3538,Swordfish,"13,183",Monterey,2009
3539,"Thornyhead, longspine","96,584",Monterey,2009
3540,"Thornyhead, shortspine","63,232",Monterey,2009
3541,"Tuna, albacore","82,989",Monterey,2009
3542,"Tuna, bluefin",674,Monterey,2009
3543,Turbot,20,Monterey,2009
3544,"Whitefish, ocean",5,Monterey,2009
3545,"Whiting, Pacific",676,Monterey,2009
3546,"Crab, Dungeness","163,413",Monterey,2009
3547,"Crab, red rock",10,Monterey,2009
3548,"Crab, rock unspecified","2,003",Monterey,2009
3549,"Crab, spider",66,Monterey,2009
3550,"Prawn, spot","25,177",Monterey,2009
3551,"Shrimp, coonstriped","1,731",Monterey,2009
3552,"Shrimp, ocean (pink)",11,Monterey,2009
3553,"Octopus, unspecified",772,Monterey,2009
3554,"Squid, jumbo",155,Monterey,2009
3555,"Squid, market","2,287,236",Monterey,2009
3556,Jellyfish,"14,579",Monterey,2009
3557,Waters Area Total:,"59,359,473",Monterey,2009
3558,Grand Total:,"59,359,473",Monterey,2009
3559,"Anchovy, northern","26,931,368",Monterey,2008
3560,"Bass, giant sea",437,Monterey,2008
3561,"Bonito, Pacific",238,Monterey,2008
3562,Cabezon,"5,328",Monterey,2008
3563,"Croaker, white","1,730",Monterey,2008
3564,"Eel, monkeyface (prickleback)",3,Monterey,2008
3565,"Fish, unspecified",20,Monterey,2008
3566,"Flounder, starry",49,Monterey,2008
3567,"Flounder, unspecified",3,Monterey,2008
3568,"Greenling, kelp",378,Monterey,2008
3569,Grenadier,"177,348",Monterey,2008
3570,Hagfishes,"103,423",Monterey,2008
3571,"Halibut, California","9,525",Monterey,2008
3572,"Herring, Pacific","289,410",Monterey,2008
3573,Jacksmelt,"14,614",Monterey,2008
3574,Lingcod,"10,050",Monterey,2008
3575,Louvar,75,Monterey,2008
3576,"Mackerel, Pacific","454,955",Monterey,2008
3577,"Mackerel, jack","130,860",Monterey,2008
3578,"Mackerel, unspecified",573,Monterey,2008
3579,Opah,649,Monterey,2008
3580,"Rockfish, China",43,Monterey,2008
3581,"Rockfish, aurora",141,Monterey,2008
3582,"Rockfish, bank","58,840",Monterey,2008
3583,"Rockfish, black-and-yellow","5,071",Monterey,2008
3584,"Rockfish, black",258,Monterey,2008
3585,"Rockfish, blackgill","14,084",Monterey,2008
3586,"Rockfish, blue","2,991",Monterey,2008
3587,"Rockfish, bocaccio","2,083",Monterey,2008
3588,"Rockfish, brown",217,Monterey,2008
3589,"Rockfish, canary",139,Monterey,2008
3590,"Rockfish, chilipepper","32,456",Monterey,2008
3591,"Rockfish, copper",212,Monterey,2008
3592,"Rockfish, darkblotched",40,Monterey,2008
3593,"Rockfish, flag",57,Monterey,2008
3594,"Rockfish, gopher","6,276",Monterey,2008
3595,"Rockfish, grass","2,978",Monterey,2008
3596,"Rockfish, greenspotted",256,Monterey,2008
3597,"Rockfish, greenstriped",74,Monterey,2008
3598,"Rockfish, group bolina",68,Monterey,2008
3599,"Rockfish, group gopher",368,Monterey,2008
3600,"Rockfish, group red",214,Monterey,2008
3601,"Rockfish, group rosefish",105,Monterey,2008
3602,"Rockfish, group slope",490,Monterey,2008
3603,"Rockfish, kelp",606,Monterey,2008
3604,"Rockfish, olive",820,Monterey,2008
3605,"Rockfish, redbanded",3,Monterey,2008
3606,"Rockfish, rosy",228,Monterey,2008
3607,"Rockfish, speckled",6,Monterey,2008
3608,"Rockfish, splitnose","90,906",Monterey,2008
3609,"Rockfish, starry",95,Monterey,2008
3610,"Rockfish, treefish",36,Monterey,2008
3611,"Rockfish, unspecified",10,Monterey,2008
3612,"Rockfish, vermilion","2,583",Monterey,2008
3613,"Rockfish, widow","1,850",Monterey,2008
3614,"Rockfish, yelloweye",37,Monterey,2008
3615,"Rockfish, yellowtail","1,065",Monterey,2008
3616,Sablefish,"435,324",Monterey,2008
3617,Sanddab,"13,906",Monterey,2008
3618,"Sardine, Pacific","57,786,481",Monterey,2008
3619,"Seabass, white","2,388",Monterey,2008
3620,"Shark, blue",125,Monterey,2008
3621,"Shark, shortfin mako",468,Monterey,2008
3622,"Shark, soupfin",225,Monterey,2008
3623,"Shark, spiny dogfish","6,111",Monterey,2008
3624,"Shark, thresher",760,Monterey,2008
3625,"Shark, unspecified",15,Monterey,2008
3626,"Sheephead, California",29,Monterey,2008
3627,"Skate, unspecified","1,971",Monterey,2008
3628,"Sole, Dover","56,574",Monterey,2008
3629,"Sole, English","6,453",Monterey,2008
3630,"Sole, petrale","62,560",Monterey,2008
3631,"Sole, rex","1,652",Monterey,2008
3632,"Sole, rock",42,Monterey,2008
3633,"Sole, sand",38,Monterey,2008
3634,Swordfish,"14,441",Monterey,2008
3635,"Thornyhead, longspine","120,818",Monterey,2008
3636,"Thornyhead, shortspine","66,060",Monterey,2008
3637,Thornyheads,144,Monterey,2008
3638,"Tomcod, Pacific",350,Monterey,2008
3639,"Tuna, albacore","64,637",Monterey,2008
3640,"Tuna, skipjack",420,Monterey,2008
3641,Turbot,63,Monterey,2008
3642,"Crab, Dungeness","124,388",Monterey,2008
3643,"Crab, red rock",12,Monterey,2008
3644,"Crab, rock unspecified",563,Monterey,2008
3645,"Crab, spider",100,Monterey,2008
3646,"Prawn, spot","31,385",Monterey,2008
3647,"Shrimp, bay",125,Monterey,2008
3648,"Octopus, unspecified",85,Monterey,2008
3649,"Squid, jumbo",908,Monterey,2008
3650,"Squid, market",233,Monterey,2008
