datetime,PRCP_Eureka,PRCP_SantaCruz,PRCP_SantaMaria,PRCP_LosAngeles,PRCP_SanDiego
2000-02-11,0.11,0.11,0.78,0.04,0.01
2000-02-12,0.49,0.49,0.29,0.64,0.39
2000-02-13,0.96,0.96,0.62,0.36,0.1
2000-02-14,0.75,0.75,0.22,0.1,0.01
2000-02-15,0.0,0.0,0.0,0.0,0.0
2000-02-16,0.11,0.11,0.42,0.66,0.19
2000-02-17,0.03,0.03,0.01,0.0,0.02
2000-02-18,0.0,0.0,0.0,0.0,0.0
2000-02-19,0.0,0.0,0.0,0.0,0.0
2000-02-20,0.04,0.04,0.7,0.85,0.51
2000-02-21,0.06,0.06,1.65,1.07,1.59
2000-02-22,1.25,1.25,0.08,0.0,0.0
2000-02-23,0.43,0.43,0.95,1.09,0.7
2000-02-24,0.02,0.02,0.0,0.0,0.0
2000-02-25,0.18,0.18,0.0,0.0,0.0
2000-03-01,0.06,0.06,0.0,0.0,0.04
2000-03-02,0.21,0.21,0.03,0.0,0.0
2000-03-03,0.0,0.0,0.08,0.28,0.01
2000-03-04,0.39,0.39,0.0,0.07,0.05
2000-03-05,0.0,0.0,0.55,1.71,0.64
2000-03-06,0.0,0.0,0.24,0.04,0.05
2000-03-07,0.24,0.24,0.02,0.0,0.05
2000-03-08,0.01,0.01,0.23,0.71,0.06
2000-03-09,0.2,0.2,0.13,0.01,0.0
2000-03-10,0.5,0.5,0.0,0.0,0.0
2000-03-11,0.0,0.0,0.0,0.0,0.0
2000-03-12,0.0,0.0,0.0,0.0,0.0
2000-03-13,0.4,0.4,0.0,0.0,0.0
2000-03-14,0.03,0.03,0.0,0.0,0.0
2000-03-15,0.0,0.0,0.0,0.0,0.0
2000-03-16,0.51,0.51,0.0,0.0,0.0
2000-03-17,0.0,0.0,0.0,0.0,0.0
2000-03-18,0.2,0.2,0.0,0.0,0.0
2000-03-19,0.01,0.01,0.0,0.0,0.0
2000-03-20,0.0,0.0,0.0,0.0,0.1
2000-03-21,0.0,0.0,0.0,0.0,0.0
2000-03-22,0.04,0.04,0.0,0.0,0.0
2000-03-23,0.0,0.0,0.0,0.0,0.0
2000-03-24,0.0,0.0,0.0,0.0,0.0
2000-03-25,0.0,0.0,0.0,0.0,0.0
2000-04-01,0.0,0.0,0.0,0.0,0.0
2000-04-02,0.0,0.0,0.0,0.0,0.0
2000-04-03,0.0,0.0,0.0,0.0,0.0
2000-04-04,0.0,0.0,0.0,0.0,0.0
